yrsurv,WEIGHT_L,WEIGHT_A,GEMHHINC,knowent,opport,suskill,fearfail,futsup,discent,busang,gender,age9c,hhsize,ushhinc,usreduc,ESTBBUSO,IPACTLD_ALL,Region,race,TEA,TEANEC,TEAOPP
2011,0.8417939496,0.8747403784,3467,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,6.0,1.0,5,3,0,0,5,-2,0,0,0
2011,0.8124603215,0.8442586804,3467,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,4.0,3.0,4,4,1,0,5,1,0,0,0
2011,1.024740246,1.064846891,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2.0,6.0,9,4,0,0,5,-2,0,0,0
2011,1.024740246,1.064846891,-2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2.0,-2.0,-2,-2,0,0,5,-2,0,0,0
2011,2.047885362,2.128036222,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2.0,3.0,2,3,0,0,5,1,0,0,0
2011,,0.7467723918,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.0,3,4,0,0,5,1,0,0,0
2011,1.024740246,1.064846891,-2,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1,2.0,2.0,-2,3,0,0,5,1,0,0,0
2011,1.07354722,1.11556409,3467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5.0,1.0,4,3,0,0,5,-2,0,0,0
2011,0.7546283857,0.7841632979,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4.0,4.0,-1,-1,0,0,5,1,0,0,0
2011,0.7546283857,0.7841632979,68100,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,2,4.0,4.0,6,6,0,0,5,1,0,0,0
2011,1.07354722,1.11556409,3467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,5.0,3.0,4,3,0,0,5,-2,0,0,0
2011,,0.8378136458,33,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1,7.0,2.0,3,3,0,0,5,1,0,0,0
2011,,0.7467723918,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,7.0,1.0,1,1,0,0,5,1,0,0,0
2011,,0.7467723918,3467,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,7.0,1.0,4,6,0,0,5,-2,0,0,0
2011,0.8124603215,0.8442586804,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,4.0,1.0,1,2,0,0,5,1,0,0,0
2011,1.182673773,1.228961677,3467,0.0,1.0,1.0,-2.0,0.0,0.0,0.0,2,6.0,2.0,4,4,0,0,5,1,0,0,0
2011,1.024740246,1.064846891,68100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2.0,7.0,6,4,0,0,5,1,0,0,0
2011,,0.7467723918,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,3,4,0,0,5,-2,0,0,0
2011,1.106268405,1.149565928,3467,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,3.0,5.0,5,3,0,0,5,2,0,0,0
2011,1.007511365,1.0469437,68100,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,5.0,6.0,9,6,0,0,5,1,0,0,0
2011,1.182673773,1.228961677,3467,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,6.0,3.0,5,5,0,0,5,-2,1,0,1
2011,1.007511365,1.0469437,-2,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,2,5.0,5.0,-2,5,0,0,5,-2,0,0,0
2011,,0.8378136458,68100,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,7.0,1.0,6,5,0,0,5,-2,0,0,0
2011,1.07354722,1.11556409,-2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,5.0,2.0,-2,4,0,0,5,1,0,0,0
2011,1.106268405,1.149565928,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,6.0,1,3,0,0,5,-2,0,0,0
2011,1.007511365,1.0469437,68100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,5.0,5.0,7,4,0,0,5,-2,0,0,0
2011,2.047885362,2.128036222,3467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2.0,3.0,5,3,0,0,5,-2,0,0,0
2011,0.8417939496,0.8747403784,68100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,6.0,2.0,6,6,0,0,5,4,0,0,0
2011,0.8417939496,0.8747403784,68100,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,6.0,2.0,6,2,0,0,5,1,0,0,0
2011,2.047885362,2.128036222,33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2.0,3.0,1,4,0,0,5,-2,0,0,0
2011,0.8124603215,0.8442586804,68100,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,4.0,4.0,9,5,0,0,5,-2,0,0,0
2011,1.007511365,1.0469437,68100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.0,4.0,9,5,0,0,5,1,0,0,0
2011,,0.7467723918,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,3,4,0,0,5,1,0,0,0
2011,1.078154915,1.120352123,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,3.0,1.0,1,4,0,0,5,2,1,1,0
2011,1.007511365,1.0469437,3467,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,5.0,1.0,4,5,0,0,5,-2,0,0,0
2011,,0.8378136458,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,7.0,2.0,3,3,0,0,5,1,0,0,0
2011,0.7546283857,0.7841632979,3467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4.0,4.0,5,6,0,0,5,1,0,0,0
2011,1.078154915,1.120352123,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,6.0,-2,-2,0,0,5,-2,0,0,0
2011,1.078154915,1.120352123,3467,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2,3.0,4.0,5,5,0,0,5,-2,0,0,0
2011,1.07354722,1.11556409,68100,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,5.0,4.0,6,6,0,0,5,1,0,0,0
2011,,0.7467723918,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,7.0,1.0,-1,3,0,0,5,1,0,0,0
2011,0.8417939496,0.8747403784,3467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,6.0,2.0,4,1,0,0,5,1,0,0,0
