yrsurv,WEIGHT_L,WEIGHT_A,GEMHHINC,knowent,opport,suskill,fearfail,futsup,discent,busang,gender,age9c,hhsize,ushhinc,usreduc,ESTBBUSO,IPACTLD_ALL,Region,race,TEA,TEANEC,TEAOPP
2011,1.415335205,1.470729094,68100,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,5.0,5.0,6,5,0,0,7,-2,0,0,0
2011,1.139625883,1.184228963,68100,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,4.0,5.0,6,3,1,0,7,-2,0,0,0
2011,1.654108245,1.718847318,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,1,3,0,0,7,-2,0,0,0
2011,1.244369692,1.293072272,3467,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,6.0,2.0,5,4,1,0,7,1,0,0,0
2011,,1.084279103,33,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,2,7.0,1.0,1,3,0,0,7,1,0,0,0
2011,1.085299302,1.127776129,68100,1.0,0.0,1.0,1.0,-1.0,0.0,0.0,1,5.0,4.0,7,3,1,0,7,1,0,0,0
2011,,1.084279103,33,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,2,7.0,4.0,3,3,0,0,7,1,0,0,0
2011,,1.549518811,3467,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7.0,1.0,5,5,0,1,7,-2,0,0,0
2011,1.415335205,1.470729094,3467,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2,5.0,3.0,5,6,0,0,7,-2,1,0,0
2011,1.085299302,1.127776129,-2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,5.0,4.0,-2,2,0,0,7,1,0,0,0
2011,3.012861331,3.130779761,-2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,-2,5,0,0,7,-2,0,0,0
2011,1.085299302,1.127776129,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,5.0,2.0,-2,3,0,0,7,-2,0,0,0
2011,1.244369692,1.293072272,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,6.0,1.0,3,5,0,0,7,1,0,0,0
2011,1.244369692,1.293072272,68100,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,6.0,2.0,7,5,0,0,7,-2,1,0,1
2011,1.085299302,1.127776129,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,5.0,1.0,2,3,0,0,7,1,0,0,0
2011,1.085299302,1.127776129,68100,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,5.0,4.0,8,5,0,1,7,1,0,0,0
2011,1.139625883,1.184228963,3467,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,4.0,5.0,5,2,1,0,7,1,0,0,0
2011,,1.549518811,68100,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1,7.0,2.0,7,4,0,0,7,-2,0,0,0
2011,1.244369692,1.293072272,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,6.0,3.0,-2,4,0,1,7,-2,0,0,0
2011,1.139625883,1.184228963,3467,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,4.0,5.0,5,2,1,0,7,1,0,0,0
2011,1.602253465,1.664963027,3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,4.0,5,3,0,0,7,-2,0,0,0
2011,1.654108245,1.718847318,68100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,3.0,9,3,0,0,7,-2,0,0,0
2011,,1.084279103,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,7.0,1.0,1,3,0,0,7,1,0,0,0
2011,1.085299302,1.127776129,68100,1.0,-2.0,1.0,1.0,0.0,0.0,0.0,1,5.0,2.0,9,6,0,0,7,1,0,0,0
2011,1.139625883,1.184228963,-2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,4.0,4.0,-2,4,1,1,7,-2,0,0,0
2011,1.085299302,1.127776129,68100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,2.0,6,-1,0,0,7,-2,0,0,0
2011,1.415335205,1.470729094,3467,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,5.0,2.0,5,4,0,0,7,-2,0,0,0
2011,,1.084279103,33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,7.0,2.0,2,2,0,0,7,1,0,0,0
2011,,1.084279103,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.0,1,3,0,0,7,1,0,0,0
2011,1.452047473,1.50887822,68100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,6.0,2.0,7,3,0,0,7,-2,0,0,0
2011,,1.549518811,3467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7.0,2.0,4,3,1,0,7,-2,0,0,0
2011,2.320880871,2.411716326,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1.0,1,2,0,0,7,-2,0,0,0
2011,1.601096584,1.663760867,3467,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,4.0,5.0,5,4,0,0,7,-2,0,0,0
