yrsurv,WEIGHT_L,WEIGHT_A,GEMHHINC,knowent,opport,suskill,fearfail,futsup,discent,busang,gender,age9c,hhsize,ushhinc,usreduc,ESTBBUSO,IPACTLD_ALL,Region,race,TEA,TEANEC,TEAOPP
2011,1.25595138,1.305107248,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3.0,2.0,2,5,0,0,10,-2,0,0,0
2011,1.138745124,1.183313732,3467,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,5.0,3.0,5,3,1,0,10,-2,0,0,0
2011,1.25595138,1.305107248,-2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,3.0,8.0,-1,3,0,0,10,1,0,0,0
2011,0.9975572848,1.036600034,33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,6.0,1.0,2,2,0,0,10,1,0,0,0
2011,1.223612775,1.271502964,33,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,2,2.0,1.0,2,5,0,0,10,-2,1,0,1
2011,0.8586493173,0.8922554374,33,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,2,6.0,2.0,2,3,0,0,10,-2,0,0,0
2011,0.9435316638,0.9804599392,33,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,6.0,1.0,1,5,1,0,10,-2,0,0,0
2011,,0.9260929929,33,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,7.0,1.0,1,2,0,0,10,1,0,0,0
2011,,0.8922554374,-2,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,2,7.0,1.0,-2,5,0,0,10,1,0,0,0
2011,1.25595138,1.305107248,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,3.0,3,4,0,0,10,1,0,0,0
2011,0.9975572848,1.036600034,33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,6.0,1.0,2,6,0,0,10,-2,0,0,0
2011,1.195750041,1.242549728,68100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2.0,3.0,6,3,0,0,10,1,0,0,0
2011,1.195750041,1.242549728,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2.0,4.0,3,5,0,0,10,-2,0,0,0
2011,0.9975572848,1.036600034,3467,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,2,6.0,2.0,5,3,0,1,10,-2,0,0,0
2011,0.9394752295,0.9762447427,3467,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,4.0,4.0,5,4,0,0,10,-2,1,1,0
2011,0.9975572848,1.036600034,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,6.0,2.0,1,4,0,0,10,-2,0,0,0
2011,1.224893988,1.272834321,68100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4.0,4.0,6,5,0,0,10,1,0,0,0
2011,1.342397237,1.394936454,3467,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,3.0,2.0,5,6,0,1,10,1,0,0,0
2011,0.9394752295,0.9762447427,68100,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,4.0,4.0,6,6,0,0,10,-2,0,0,0
